,LocationID,zone,lon,lat
116,117,Hammels/Arverne,-73.7760841015515,40.59605582982406
117,118,Heartland Village/Todt Hill,-74.13707013132111,40.58563106211795
118,119,Highbridge,-73.92696621099432,40.836730031333694
119,120,Highbridge Park,-73.93080685174128,40.84600407205055
120,121,Hillcrest/Pomonok,-73.7996883075719,40.727347194852854
121,122,Hollis,-73.76156418515168,40.71106846711731
122,123,Homecrest,-73.96519830476026,40.60020480274175
123,124,Howard Beach,-73.85000504286926,40.65956676860808
124,125,Hudson Sq,-74.00717569200464,40.72537634053722
125,126,Hunts Point,-73.88497727293742,40.81391819218657
126,127,Inwood,-73.92032547185646,40.865062683293125
127,128,Inwood Hill Park,-73.92543208550923,40.87218760932645
128,129,Jackson Heights,-73.887406379492,40.75905747396256
129,130,Jamaica,-73.80034752467935,40.703273883303666
130,131,Jamaica Estates,-73.77137449507258,40.72041232813305
131,132,JFK Airport,-73.77826365889905,40.642604521716564
132,133,Kensington,-73.9743361977043,40.639387203888006
133,134,Kew Gardens,-73.82999270305426,40.708750179810345
134,135,Kew Gardens Hills,-73.823985513876,40.72940996436311
135,136,Kingsbridge Heights,-73.90571996623521,40.86480273108759
136,137,Kips Bay,-73.97711937073461,40.74035923571343
137,138,LaGuardia Airport,-73.87280371468938,40.77486738951864
138,139,Laurelton,-73.74332308425686,40.67774936743142
139,140,Lenox Hill East,-73.95456804213484,40.76550681823188
140,141,Lenox Hill West,-73.95971267878048,40.766838816584844
141,142,Lincoln Square East,-73.98135241373991,40.77390598538879
142,143,Lincoln Square West,-73.98797296641922,40.77577020957016
143,144,Little Italy/NoLiTa,-73.99740668419741,40.72058145150746
144,145,Long Island City/Hunters Point,-73.94869919181788,40.74658996790379
145,146,Long Island City/Queens Plaza,-73.93363409454497,40.75452889411279
146,147,Longwood,-73.89819293473161,40.8191985303461
147,148,Lower East Side,-73.99071836266104,40.71921167420639
148,149,Madison,-73.94847420881219,40.60655798592629
149,150,Manhattan Beach,-73.9428842620732,40.58026232412454
150,151,Manhattan Valley,-73.96780839097354,40.79786626800661
151,152,Manhattanville,-73.95432487462763,40.81757720019342
152,153,Marble Hill,-73.91106257665844,40.87560040594583
153,154,Marine Park/Floyd Bennett Field,-73.89612330695002,40.593118666610096
154,155,Marine Park/Mill Basin,-73.90676934231902,40.61778853887326
155,156,Mariners Harbor,-74.164859304761,40.62874837548661
156,157,Maspeth,-73.90192569084356,40.724039356601956
157,158,Meatpacking/West Village West,-74.00838575701171,40.735248066679254
158,159,Melrose South,-73.91358298976434,40.818259460507036
